school_name,url_address,address,postal_code,telephone_no,telephone_no_2,fax_no,fax_no_2,email_address,mrt_desc,bus_desc,principal_name,first_vp_name,second_vp_name,third_vp_name,fourth_vp_name,fifth_vp_name,sixth_vp_name,dgp_code,zone_code,type_code,nature_code,session_code,mainlevel_code,sap_ind,autonomous_ind,gifted_ind,ip_ind,mothertongue1_code,mothertongue2_code,mothertongue3_code
ENDEAVOUR PRIMARY SCHOOL,https://endeavourpri.moe.edu.sg/,10 Admiralty Link   ,757521,64824650,64824835,64824670,na,endeavour_ps@moe.edu.sg,Sembawang MRT Station,"859, 962",MR KOH KIAN SENG THOMAS,MADAM CHUA HUI PIN,MISS FAUZIAH DAUD,MISS CELESTE LOH SHI MIN,na,na,na,SEMBAWANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
EUNOIA JUNIOR COLLEGE,http://www.eunoiajc.moe.edu.sg,2 Sin Ming Place   ,573838,63518388,na,63518399,na,eunoiajc@moe.edu.sg,"Bishan MRT Station, Marymount MRT Station, Ang Mo Kio MRT Station, Bright Hill MRT Station","13, 52, 74, 88, 130, 410G, 410W, 851, 852",MR TAN ENG HIAN ANDREW,MDM NEW YI CHEEN,MADAM PHUA KIA LING,na,na,na,na,BISHAN,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,FULL DAY,JUNIOR COLLEGE,No,No,No,Yes,CHINESE,MALAY,TAMIL
EVERGREEN PRIMARY SCHOOL,http://www.evergreenpri.moe.edu.sg/,31 WOODLANDS CIRCLE   ,738908,63687705,na,63688084,na,EVERGREEN_PS@MOE.EDU.SG,Admiralty,"913(front), 911 & 858(back)",MR JEFFREY AW,MR BOH CHUAN XIANG,MADAM ONG HWEE LENG,MR CHENG YOU NENG,na,na,na,WOODLANDS,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
EVERGREEN SECONDARY SCHOOL,http://www.evergreensec.moe.edu.sg,11 WOODLANDS STREET 83   ,738489,63656392,na,63658083,na,EVERGREEN_SS@MOE.EDU.SG,WOODLANDS MRT,911,MS BIAN YU WEI,MR LIM KANGYU,MADAM TAY CHOR HWEE,na,na,na,na,WOODLANDS,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL
FAIRFIELD METHODIST SCHOOL (PRIMARY),http://www.fmsp.moe.edu.sg/,100 DOVER ROAD   ,139648,67788431,na,67762948,na,FMPS@MOE.EDU.SG,"One-North MRT, Buona Vista MRT & Dover MRT","SBS Bus 14,33,74,166 & 196",MADAM WONG MEI FOONG,MR HO KOK SOON,MADAM QUEK TSUI LAN PRISCA,MR KNG WEE BENG,na,na,na,QUEENSTOWN,SOUTH,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
FAIRFIELD METHODIST SCHOOL (SECONDARY),http://www.fairfieldmethodistsec.moe.edu.sg,102 DOVER ROAD   ,139649,67788702,na,67797482,na,FMSS@MOE.EDU.SG,"BUONA VISTA MRT, ONE-NORTH MRT","33, 74, 166, 196",MR WEE TAT CHUEN,MR JEROMY NGIAN KUN CHUAN,MISS STELLA KOH LI HUI,MADAM CHUA JIAYIN,na,na,na,QUEENSTOWN,SOUTH,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,Yes,No,No,CHINESE,MALAY,TAMIL
FARRER PARK PRIMARY SCHOOL,http://www.farrerparkpri.moe.edu.sg,2 FARRER PARK ROAD   ,217567,62952272,na,62942272,na,FPPS@MOE.EDU.SG,Farrer Park MRT Station,131,"MR YAP SWEE BENG, DENNIS",MADAM RAHIMA BTE ABDUL RAHMAN,MR YONG WEI LEONG,na,na,na,na,KALLANG,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
FENGSHAN PRIMARY SCHOOL,http://www.fengshanpri.moe.edu.sg,307 BEDOK NORTH ROAD   ,469680,65860123,na,65860122,na,FSPS@MOE.EDU.SG,Bedok MRT,"18, 228, 222, 17, 69, 66, 67, 168, 28, 506, 14, 45",MISS WONG LIANG- JI TABITHA,MADAM LAI KAI CHING,MS SIEW GEOK LING (SHAO YULING),na,na,na,na,BEDOK,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
FERN GREEN PRIMARY SCHOOL,www.ferngreenpri.moe.edu.sg,70 Fernvale Link,797538,68343100,na,68343116,na,ferngreen_ps@moe.edu.sg,Kupang LRT Station (SW3),"85, 102",na,MADAM KYLICIA SOO GEOK LING,MISS CHOW CHIA MIN AGNES,"MADAM QUEK HWEE PENG, ANDREA (GUO HUIPING, ANDREA)",na,na,na,SENG KANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
FERNVALE PRIMARY SCHOOL,www.fernvalepri.moe.edu.sg,1 Fernvale Lane   ,797701,63153051,na,63153067,na,fernvale_ps@moe.edu.sg,Fernvale LRT (Sengkang West Loop),"Along Sengkang West Ave - Bus Services 50, 163; Along Yio Chu Kang Road - Bus Services 70, 86, 103 and 854.",MR LAU ENOCH,MISS YAP AI LI,MR RAMESH MUKUNDHAN,MR KEVIN PATT,na,na,na,SENG KANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
FIRST TOA PAYOH PRIMARY SCHOOL,http://www.firsttoapayohpri.moe.edu.sg,7 LORONG 8 TOA PAYOH   ,319252,62567822,na,62561102,na,FTPPS@MOE.EDU.SG,Braddell & Toa Payoh Stations,"157,153,105,159,88,FS238",MADAM JENNIFER HAN ENG JUAN,MR KOH PENG YEOW,MS TAY YAM ENG,na,na,na,na,TOA PAYOH,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
FRONTIER PRIMARY SCHOOL,http://www.frontierpri.moe.edu.sg,20 Jurong West Street 61   ,648200,65789555,na,67908596,na,frontier_ps@moe.edu.sg,Pioneer MRT Station (EW28),"241, 974, 179",MADAM LEE YEW KOON TONNINE,MADAM CHAN YEE CHIN WILNA,MADAM WONG SHI-LEI,MR ANG BOON CHIN,na,na,na,JURONG WEST,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
FUCHUN PRIMARY SCHOOL,http://www.fuchunpri.moe.edu.sg,23 WOODLANDS AVENUE 1   ,739063,63683925,na,63670117,na,FCPS@MOE.EDU.SG,Marsiling,"187,856,912,925,950,960,961,963,963E,963R,966",MADAM EUNICE LIM,MR SUDHESH VASU DASH,MR TAN CHIN KEE,na,na,na,na,WOODLANDS,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
FUHUA PRIMARY SCHOOL,http://www.fuhuapri.moe.edu.sg,65 JURONG EAST STREET 13   ,609647,65624370,na,65639542,na,FHPS@MOE.EDU.SG,JURONG EAST MRT STATION,"JURONG EAST CENTRAL (BS28441): 41,49,52,105,160,160A,160M,176,183,334,506; JURONG EAST CENTRAL (BS28431):51,66,78,79,143, 143M, 176, 335",MR GANESAN S/O RAMAN,MADAM SEOW SWEE NEO CHRISTINA,MS SAIMA HANIF D/O MOHAMED HANIF,na,na,na,na,JURONG EAST,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
FUHUA SECONDARY SCHOOL,http://www.fuhuasec.moe.edu.sg,5 JURONG WEST STREET 41   ,649410,65633067,na,65634379,na,FHSS@MOE.EDU.SG,"CHINESE GARDEN MRT, LAKESIDE MRT","49, 98, 99, 157, 180, 185, 187, 198, 334, 335, 502, 657",MRS LIM CAROL,MR CHNG PUAY KEONG,MISS PEH LEE CHIN,na,na,na,na,JURONG WEST,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL
GAN ENG SENG PRIMARY SCHOOL,http://www.ganengsengpri.moe.edu.sg,100 REDHILL CLOSE   ,158901,64717451,na,64794152,na,GESPS@MOE.EDU.SG,Redhill,"14, 63, 147, 196, 197, 855, 961","MR LEE WEI YAP, ROY",MR KYAW SAW LYNN,MADAM WONG SEOK GHEE,na,na,na,na,BUKIT MERAH,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
GAN ENG SENG SCHOOL,http://www.ganengsengsch.moe.edu.sg,1 HENDERSON ROAD   ,159561,64745594,na,64732479,na,GESS@MOE.EDU.SG,"REDHILL MRT, TIONG BAHRU MRT","14, 16, 32, 33, 51, 63, 64, 120, 122, 145, 139, 186, 851, 970",MISS TAN HWEE PIN,MADAM SARAWATHY D/O VARADARAJU,MR TAN TZE JWEE GLYNN,MR GOH THYE HENG,na,na,na,BUKIT MERAH,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL
GEYLANG METHODIST SCHOOL (PRIMARY),www.geylangmethodistpri.moe.edu.sg,4 Geylang East Central   ,389706,67486746,na,67488980,na,GMPS@MOE.EDU.SG,Aljunied,"80, 134, 155",MADAM LEONG BENG YUET DAPHNE,MR LUA EE PING,MADAM SHARON CHANTALE KOK YENG LING,na,na,na,na,GEYLANG,EAST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
GEYLANG METHODIST SCHOOL (SECONDARY),http://www.geylangmethodistsec.moe.edu.sg,2 GEYLANG EAST CENTRAL   ,389705,67466503,na,67477317,na,GMSS@MOE.EDU.SG,ALJUNIED MRT,"40, 62, 63, 80, 100, 125, 134, 155, 158",MR OWYONG TUCK SING VICTOR,MR JOHN WU YIFAN,MISS TAY HUI CHENG,na,na,na,na,GEYLANG,EAST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL
GONGSHANG PRIMARY SCHOOL,http://www.gongshangpri.moe.edu.sg,1 TAMPINES STREET 42   ,529176,67831191,na,67880004,na,GSPS@MOE.EDU.SG,Tampines (Downtown Line and East West Line) and Tampines East (Downtown Line),"4, 8, 18, 19, 21, 37, 38, 81, 293",MRS STELLA KWAN,MDM NORA BTE OSMAN,MRS YIO YEN LING SELINA,MR FONG WAI KHIN,na,na,na,TAMPINES,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
GREENDALE PRIMARY SCHOOL,http://www.greendalepri.moe.edu.sg,50 Edgedale Plains   ,828848,68861413,na,68861419,na,greendale_ps@moe.edu.sg,Punggol LRT:  Coral Edge,"3,62, 83, 85, 386",MADAM NOORISMAWATY BTE ISMAIL,MR SIM CHIN BENG WILSON,MR CHING KIN HIN,na,na,na,na,PUNGGOL,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
GREENDALE SECONDARY SCHOOL,http://www.greendalesec.moe.edu.sg,51 EDGEDALE PLAINS   ,828866,63158616,na,63158420,na,greendale_ss@moe.edu.sg,"PUNGGOL MRT, MERIDIAN LRT","3, 62, 83, 85, 136, 386",MR SULAIMAN B MOHAMAD YUSOF,MRS YU WEN YEN ANNE MRS ANNE CHAN,MR CHIA KENG HWEE,na,na,na,na,PUNGGOL,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL
GREENRIDGE PRIMARY SCHOOL,http://www.greenridgepri.moe.edu.sg,11 JELAPANG ROAD   ,677744,67604265,na,67620189,na,GRPS@MOE.EDU.SG,"Senja LRT station, Jelapang LRT Station","Bus 920, 922, 972",MADAM ONG FEI MIN,MR WONG SUNG LAI,MR ANG KONG BENG ANDY,na,na,na,na,BUKIT PANJANG,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
GREENRIDGE SECONDARY SCHOOL,http://www.greenridgesec.moe.edu.sg,31 Gangsa Road   ,678972,67691491,na,na,na,GRSS@MOE.EDU.SG,"Bukit Panjang MRT, Bukit Panjang LRT, Petir LRT","65, 75, 170, 170A, 171, 176, 177, 178, 180, 180A, 920, 922, 960, 961, 963, 963E, 963R, 970, 972, 972A, 972, 972A, 972M, 973, 973A, 974, 975, 976, 979, 983",MR NG BOON KIAT,MRS DALINA BTE ABDULLAH,MR NGOH SING KIEN,na,na,na,na,BUKIT PANJANG,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL
GREENWOOD PRIMARY SCHOOL,http://www.greenwoodpri.moe.edu.sg,11 WOODLANDS  DR  62   ,737942,63666158,na,63666159,na,GREENWOOD_PS@MOE.EDU.SG,Admiralty MRT Station,"912, 913, 962",MADAM TANG PEI LU TRICILIA,MR KIRUPANANTHA KUMAR S/O PALAIYAN,MR LEE HUAN SIAK,MR TAN KAR WEE,na,na,na,WOODLANDS,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
GUANGYANG SECONDARY SCHOOL,http://guangyangsec.moe.edu.sg,8 BISHAN STREET 12   ,579807,62589781,na,63543108,na,GYSS@MOE.EDU.SG,BISHAN MRT,"13, 56, 57, 59, 71, 88, 93, 157, 163, 410",MISS TAN KE XIN,MR HAN WEE FONG (HAN WEIFENG),MISS WU XINPING JENNIFER,MR ANBALAGAN S/O THANGARAJAH,na,na,na,BISHAN,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL
HAI SING CATHOLIC SCHOOL,http://www.haisingcatholic.moe.edu.sg,15 PASIR RIS STREET 21   ,518969,65827864,na,65822543,na,HSHS@MOE.EDU.SG,PASIR RIS MRT,"3, 5, 6, 89, 109",MISS LIM MUI MUI ADELINE,MISS SHEREEN WONG MINGRUI,"MADAM TAN PHUAY BOON, GWEN",MR KONG WEI FOONG,na,na,na,PASIR RIS,EAST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL
HAIG GIRLS' SCHOOL,http://www.haiggirls.moe.edu.sg,51 Koon Seng Road   ,427072,63440293,na,64474169,na,HAIGGIRLSSCH@MOE.EDU.SG,"Eunos, Dakota","16,33",MS MARION DONNE TAY SZE LENG (ZHENG SHILING),MADAM GOH SWEE LIN EVELYN,MISS SEAH XIAO YUN SHERLYN,na,na,na,na,GEYLANG,EAST,GOVERNMENT SCHOOL,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
HENRY PARK PRIMARY SCHOOL,http://www.henryparkpri.moe.edu.sg,1 HOLLAND GROVE ROAD   ,278790,64663600,na,64691840,na,HPPS@MOE.EDU.SG,"Buona Vista MRT, Clementi MRT","7, 61, 75, 156, 157, 165, 92",MR CHAN GEOK ANN CHARLES,MR CHUA CHYE HOCK,MRS JEAN TOH,MISS REGINA KIM LEE HOON,na,na,na,BUKIT TIMAH,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,Yes,No,CHINESE,MALAY,TAMIL
HILLGROVE SECONDARY SCHOOL,http://www.hillgrovesec.moe.edu.sg,10 BUKIT BATOK STREET 52   ,659250,65603726,na,65630920,na,HILLGROVE_SS@MOE.EDU.SG,"BUKIT BATOK MRT, BUKIT GOMBAK MRT","176, 985, 945",MADAM LEE CHING GUAN HELEN,MR ADAM BIN AHMAD,CHIANG HOCK YEE,na,na,na,na,BUKIT BATOK,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL
HOLY INNOCENTS' HIGH SCHOOL,http://www.holyinnocentshigh.moe.edu.sg,1191 UPPER SERANGOON ROAD   ,534786,62833381,na,62831737,na,HIHS@MOE.EDU.SG,HOUGANG MRT,"27, 72, 74, 80, 87, 89, 101, 107, 113, 116, 119, 132, 136, 147, 153, 161, 165, 324, 325",MRS REBECCA CHEW,MISS CAROL ANN MARTIN,"MR TEO HAN WOON, DENNIS",MADAM ONG LEE LEE,na,na,na,HOUGANG,SOUTH,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL
HOLY INNOCENTS' PRIMARY SCHOOL,http://www.holyinnocentspri.moe.edu.sg/,5 Lorong Low Koon   ,536451,62886516,na,62876393,na,HOLYINNOCENT@MOE.EDU.SG,2km walk to Hougang MRT,"51,72,80,101,119,132,136,153.",MISS SEET ENG GEOK LENA,MADAM TOO SIEW HAN JOYCE,MADAM GOH HUI CHENG,MR NG CHEONG ANN,na,na,na,HOUGANG,SOUTH,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,Yes,No,No,No,CHINESE,na,na
HONG WEN SCHOOL,http://www.hongwen.moe.edu.sg,30 TOWNER ROAD   ,327829,62943340,na,62937625,na,HWS@MOE.EDU.SG,Boon Keng MRT,"Serangoon Road: 13, 23, 31, 64, 65, 66, 125, 133, 147, 857, 985; Balestier Road: 21, 125, 130, 139, 145",MRS THERESA HONG-NG,MR ONG SZE CHONG,MISS TEO AI LIN,MADAM CHRISTINE POON TZE MEI,na,na,na,KALLANG,SOUTH,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,Yes,No,No,No,CHINESE,na,na
HORIZON PRIMARY SCHOOL,http://www.horizonpri.moe.edu.sg,61 Edgedale Plains   ,828819,67535411,na,67523971,na,horizon_ps@moe.edu.sg,Punggol MRT Station (NE17); (LRT: Kadaloor [PE5] or Oasis [PE6]),"3, 50, 83, 85, 569",MADAM CHIA HUI KHIM,"MISS SEET SIEW LIN, PAMELA",MADAM SENTHIL POONKODI D/O R K,MR PHANG CHEE KHENG,na,na,na,PUNGGOL,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
HOUGANG PRIMARY SCHOOL,http://www.hougangpri.moe.edu.sg/,1 HOUGANG ST 93   ,534238,64897445,na,64897446,na,HOUGANG_PS@MOE.EDU.SG,"Ang Mo Kio, Buangkok, Hougang, Sengkang, Yio Chu Kang","SBS 43, 72, 88, 101, 109, 116, 156, 159, 325, 329","MR GOH WAI MIN, JASON",MISS LIEW PANG HAI,MADAM SHARIFAH FAIRUZ BTE S Y A,MADAM LIM SIEW GIM,na,na,na,HOUGANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
HOUGANG SECONDARY SCHOOL,http://www.hougangsec.moe.edu.sg,2 HOUGANG STREET 93   ,534256,63851990,na,63852015,na,HOUGANG_SS@MOE.EDU.SG,"HOUGANG MRT, BUANGKOK MRT","43, 88, 101, 109, 156, 159, 161, 325, 329",MR LEE THUAN SIM,MR LIM SOON WAI,MR TAY YUAN ZHUANG,na,na,na,na,HOUGANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL
HUA YI SECONDARY SCHOOL,http://www.huayisec.moe.edu.sg,60 JURONG WEST ST 42   ,649371,65634568,na,65634505,na,HYSS@MOE.EDU.SG,"LAKESIDE MRT, CHINESE GARDEN MRT","49, 98, 98B, 98M, 99, 157, 185, 187, 198, 198A, 334, 335, 502",DR. LIM SIEW YEE,MADAM TAN KAY BIN,MR NG JOO KOON,na,na,na,na,JURONG WEST,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL
HUAMIN PRIMARY SCHOOL,http://www.huaminpri.moe.edu.sg,21 YISHUN AVENUE 11   ,768857,67529004,na,67552455,na,HUAMIN_PS@MOE.EDU.SG,Yishun MRT Station,"806, 804",MADAM LOE LAI PINK,MADAM BALAKRISHNAN CORINNE ANNE,MR HONG CHIN KEAT,MR LEE LIN CHIEH,na,na,na,YISHUN,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
HWA CHONG INSTITUTION,http://www.hwachong.edu.sg,661 BUKIT TIMAH ROAD   ,269734,64683955,65786644,67695857,na,admin@hci.edu.sg,TAN KAH KEE MRT,"66, 67, 74, 151, 154, 156, 157, 170, 170A, 174, 852, 961, 961M",MR LEE PECK PING,MR CHAN KWOK LEONG,MRS CHIN-LEOW BEE KUAN,MISS HO PING PING,DR LIM HONG SENG MELVYN,MISS HOW LAI YIN DEBORAH,MDM LIM MIAU TENG CHERYL,BUKIT TIMAH,WEST,INDEPENDENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,MIXED LEVEL (S1-JC2),Yes,No,Yes,Yes,CHINESE,na,na
INNOVA PRIMARY SCHOOL,http://www.innovapri.moe.edu.sg/,80 Woodlands Drive 17   ,737888,68944693,na,68942573,na,innova_pri@moe.edu.sg,Woodlands,"900A (weekdays only - 7.00 am to 8.30 am & 4.30 pm to 6.30 pm), 901",MR YEE YEW LOONG,MR LAU YEAN HUI,na,na,na,na,na,WOODLANDS,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
JIEMIN PRIMARY SCHOOL,http://www.jieminpri.moe.edu.sg,2 YISHUN STREET 71   ,768515,67586472,na,67559958,na,JIEMIN_PS@MOE.EDU.SG,Yishun MRT Station,"167, 169, 171, 800, 811, 812, 856, 858, 859, 969, 980",MR ANDY MICKEY CHOONG TEK CHOY,MRS NUR FATIMAH BTE ABDUL MALIK MRS NUR FATIMAH FRAUDER,MISS WONG KAH WAN JOY,na,na,na,na,YISHUN,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
JING SHAN PRIMARY SCHOOL,http://www.jingshanpri.moe.edu.sg,5 ANG MO KIO ST 52   ,569228,64566305,na,64581619,na,JSPS@MOE.EDU.SG,Ang Mo Kio MRT,Bus 265,MADAM BOEY HUEY PENG SHARON,MISS NG SUAT THENG ANGELA,MR JONATHON LOH,MISS LIM EE LENG ELLEN,na,na,na,ANG MO KIO,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
JUNYUAN PRIMARY SCHOOL,https://junyuanpri.moe.edu.sg,2 Tampines Street 91   ,528906,67830375,na,67887395,na,JUNYUAN_PS@MOE.EDU.SG,Tampines West (Downtown Line); Tampines (East-West Line),"76281: 46, 65, 129; 76061: 10, 15, 20, 21, 23, 27, 31, 34, 39, 67, 168, 292; 75051: 5, 8, 15, 18, 21, 23, 28, 59, 67, 118, 168, 513, 518",MR CHAN WENG CHEONG,MRS CHEANG MENG TSING,MADAM CHUT SHI LIN,MR WILLIAM CHUE WAI LEONG,na,na,na,TAMPINES,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
JUNYUAN SECONDARY SCHOOL,https://junyuansec.moe.edu.sg/,11 TAMPINES STREET 84   ,528933,65873683,na,na,na,JUNYUAN_SS@MOE.EDU.SG,"TAMPINES MRT, TAMPINES WEST MRT","69, 291, 293, 46",MR TAY MENG KIAT,MR LIN PEI,MR GAN THIAM SOON ALLAN,na,na,na,na,TAMPINES,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL
JURONG PIONEER JUNIOR COLLEGE,http://jpjc.moe.edu.sg,21 Teck Whye Walk   ,688258,65646878,na,67651861,na,jpjc@moe.edu.sg,Choa Chu Kang / Bt Panjang / Phoenix Station (LRT),"975, 190, 985",MR KEVIN ANG,MRS LEE BEE CHEOW,MR NAH HONG LEONG,MR POW TIEN MIN JARON,MR PHUA YONG SWEE,na,na,CHOA CHU KANG,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,FULL DAY,JUNIOR COLLEGE,No,No,No,No,CHINESE,MALAY,TAMIL
JURONG PRIMARY SCHOOL,http://www.jurongpri.moe.edu.sg,320 JURONG EAST Street 32   ,609476,65618837,na,65641964,na,JPS@MOE.EDU.SG,"Lakeside MRT Station, Jurong East MRT Station",333,MR LEONARD CHUA,MISS TAN PEIRU,MR TAN YUAN SHIN,na,na,na,na,JURONG EAST,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
JURONG SECONDARY SCHOOL,http://www.jurongsec.moe.edu.sg,31 YUAN CHING ROAD   ,618652,62655980,na,62686414,na,JURONG_SS@MOE.EDU.SG,LAKESIDE MRT,"30, 49, 98, 154, 240, 246",MISS YEO SIOK EE,MADAM LER SIAH WOON JULIA,MR LU YEOW CHOR,na,na,na,na,JURONG WEST,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL
JURONG WEST PRIMARY SCHOOL,http://www.jurongwestpri.moe.edu.sg,30 JURONG WEST ST 61   ,648368,67933419,na,67936593,na,JWPS@MOE.EDU.SG,Pioneer MRT Station,192,MRS CHRISTINA LIM LAY LENG,MADAM SIM EE KOON PATRICIA,MISS TAN WAN KHENG,MR LIM CHIN GUAN,na,na,na,JURONG WEST,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
JURONG WEST SECONDARY SCHOOL,https://www.jurongwestsec.moe.edu.sg,61 JURONG WEST STREET 65   ,648348,62623593,na,62623587,na,JWSS@MOE.EDU.SG,"BOON LAY MRT, PIONEER MRT","30, 154, 157, 180, 187, 198, 242",MISS TAN MING MING,MS TAN JIING SHYUAN,MDM ZARINA BINTE AMIR,na,na,na,na,JURONG WEST,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL
